title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
The Green Mile,189,Frank Darabont,Stephen King; Frank Darabont,Tom Hanks; Michael Clarke Duncan; David Morse,8.5,703469
Terminator 2: Judgment Day,137,James Cameron,James Cameron; William Wisher Jr.,Arnold Schwarzenegger; Linda Hamilton; Edward Furlong,8.5,682930
Whiplash,107,Damien Chazelle,Damien Chazelle,Miles Teller; J.K. Simmons; Melissa Benoist,8.5,306765
The Pianist,150,Roman Polanski,Ronald Harwood; Wladyslaw Szpilman,Adrien Brody; Thomas Kretschmann; Frank Finlay,8.5,450084
The Departed,151,Martin Scorsese,William Monahan; Alan Mak,Leonardo DiCaprio; Matt Damon; Jack Nicholson,8.5,794000
Memento,113,Christopher Nolan,Christopher Nolan; Jonathan Nolan,Guy Pearce; Carrie-Anne Moss; Joe Pantoliano,8.5,778552
Back to the Future,116,Robert Zemeckis,Robert Zemeckis; Bob Gale,Michael J. Fox; Christopher Lloyd; Lea Thompson,8.5,658121
Gladiator,155,Ridley Scott,David Franzoni; David Franzoni,Russell Crowe; Joaquin Phoenix; Connie Nielsen,8.5,895874
Apocalypse Now,153,Francis Ford Coppola,John Milius; Francis Ford Coppola,Martin Sheen; Marlon Brando; Robert Duvall,8.5,416741
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95,Stanley Kubrick,Stanley Kubrick; Terry Southern,Peter Sellers; George C. Scott; Sterling Hayden,8.5,317772
Sunset Blvd.,110,Billy Wilder,Charles Brackett; Billy Wilder,William Holden; Gloria Swanson; Erich von Stroheim,8.5,128161
The Prestige,130,Christopher Nolan,Jonathan Nolan; Christopher Nolan,Christian Bale; Hugh Jackman; Scarlett Johansson,8.5,763232
Alien,117,Ridley Scott,Dan O'Bannon; Ronald Shusett,Sigourney Weaver; Tom Skerritt; John Hurt,8.5,515387
De leeuwenkoning,89,Roger Allers; Rob Minkoff,Irene Mecchi; Jonathan Roberts,Matthew Broderick; Jeremy Irons; James Earl Jones,8.5,575225
De dictator,125,Charles Chaplin,Charles Chaplin,Charles Chaplin; Paulette Goddard; Jack Oakie,8.5,122970
